id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage
bitcoin,BTC,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,56840.0,1124128781552.0,1,1195134209000,33798266845,57897.0,54815.0,1376.76,2.4823,30282041950.0,2.7684,19752346.0,21000000.0,21000000.0,73738.0,-22.90727,2024-03-14 07:10:36.635000+00:00,67.81,83733.40107,2013-07-06 00:00:00+00:00,2024-09-10 13:35:01.282000+00:00,0.0,N/A,0.0
ethereum,ETH,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2340.59,282196351862.0,2,282196351862,14170650283,2376.33,2276.45,27.03,1.16814,4338152848.0,1.56128,120326063.7,120326063.7,,4878.26,-52.04637,2021-11-10 14:24:19.604000+00:00,0.432979,540181.05702,2015-10-20 00:00:00+00:00,2024-09-10 13:35:02.838000+00:00,54.02823180881898,btc,5402.823180881898
tether,USDT,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,118427754436.0,3,118427754436,50182093653,1.005,0.997414,-0.000169886465001268,-0.01697,244785431.0,0.20712,118369316855.54,118369316855.54,,1.32,-24.4694,2018-07-24 00:00:00+00:00,0.572521,74.55111,2015-03-02 00:00:00+00:00,2024-09-10 13:34:59.785000+00:00,0.0,N/A,0.0
binancecoin,BNB,Bnb,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,518.74,75811952710.0,4,75811952710,848459477,525.31,501.82,12.47,2.4623,2030923765.0,2.75264,145887575.79,145887575.79,200000000.0,717.48,-27.8437,2024-06-06 14:10:59.816000+00:00,0.0398177,1300084.77051,2017-10-19 00:00:00+00:00,2024-09-10 13:35:01.963000+00:00,0.0,N/A,0.0
solana,SOL,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,134.01,62627769219.0,5,78229672480,2667813119,136.33,127.09,4.78,3.69909,2284094863.0,3.78514,467639021.39,584137802.43,,259.96,-48.48286,2021-11-06 21:54:35.825000+00:00,0.500801,26641.86358,2020-05-11 19:35:23.449000+00:00,2024-09-10 13:34:56.988000+00:00,0.0,N/A,0.0
usd-coin,USDC,Usdc,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,35233587224.0,6,35232548115,6737663421,1.002,0.997742,-8.6700104539705e-05,-0.00867,134576353.0,0.38342,35211367688.18,35210329233.77,,1.17,-14.72924,2019-05-08 00:40:28.300000+00:00,0.877647,13.93828,2023-03-11 08:02:13.981000+00:00,2024-09-10 13:34:58.268000+00:00,0.0,N/A,0.0
ripple,XRP,Xrp,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.54,30290811870.0,7,53767605416,908878299,0.54315,0.527329,0.00617223,1.16071,333210654.0,1.11227,56329375591.0,99987271820.0,100000000000.0,3.4,-84.20619,2018-01-07 00:00:00+00:00,0.00268621,19881.51696,2014-05-22 00:00:00+00:00,2024-09-10 13:34:57.575000+00:00,0.0,N/A,0.0
staked-ether,STETH,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2340.19,22927399007.0,8,22927399007,55991693,2372.98,2274.88,29.31,1.26841,297528003.0,1.31476,9775994.64,9775994.64,,4829.57,-51.49129,2021-11-10 14:40:47.256000+00:00,482.9,385.14821,2020-12-22 04:08:21.854000+00:00,2024-09-10 13:34:56.669000+00:00,0.0,N/A,0.0
dogecoin,DOGE,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.1,15005885978.0,9,15007265346,774900409,0.104687,0.097108,0.00456395,4.6453,672071053.0,4.68871,145884856383.7,145898266383.7,,0.731578,-85.95818,2021-05-08 05:08:23.458000+00:00,8.69e-05,118107.64029,2015-05-06 00:00:00+00:00,2024-09-10 13:34:54.163000+00:00,0.0,N/A,0.0
the-open-network,TON,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,5.28,13380304398.0,10,27003860170,390581163,5.33,5.06,0.16523,3.2309,435159537.0,3.36157,2532791859.4,5111629390.15,,8.25,-36.09966,2024-06-15 00:36:51.509000+00:00,0.519364,915.48912,2021-09-21 00:33:11.092000+00:00,2024-09-10 13:34:57.882000+00:00,0.0,N/A,0.0
